	Variable list for netCDF file /jnet/productiondata/125rf01.nc
	Created using /jnet/local/proj/archives/scripts/getcdfvars
	on Fri Mar 25 17:12:22 MST 2005

Name	Units	Description
IAS	knot	Indicated Airspeed
IRBC	W/m2	Corrected Infrared Irradiance, Bottom
IRTC	W/m2	Corrected Infrared Irradiance, Top
LATC	degree_N	GPS-Corrected Inertial Latitude
LONC	degree_E	GPS-Corrected Inertial Longitude
MR	gram/kg	Mixing Ratio, T-Electric
MRLA	gram/kg	Mixing Ratio, Lyman-alpha
MRLA1	gram/kg	Mixing Ratio, Lyman-alpha
ONE	none	Constant value of 1.
PALT	m	NACA Pressure Altitude
PALTF	feet	NACA Pressure Altitude
PLWCC	gram/m3	Corrected PMS-King Liquid Water Content
PSFC	mbar	Corrected Static Pressure, Fuselage
PSFDC	mbar	Corrected Static Pressure, Fuselage Digital
PSURF	mbar	Calculated Surface Pressure
PSX	mbar	Raw Static Pressure, Reference
PSXC	mbar	Corrected Static Pressure, Reference
QCFC	mbar	Corrected Dynamic Pressure, Fuselage
QCFRC	mbar	Corrected Dynamic Pressure, Fuselage Right
QCRC	mbar	Corrected Dynamic Pressure, Radome
QCX	mbar	Raw Dynamic Pressure, Reference
QCXC	mbar	Corrected Dynamic Pressure, Reference
RADCF	none	Radiation Correction Factor
RATIO	none	P-CORR input variable
RHLA	%	Relative humidity from Lyman-alpha
RHLA1	%	Relative humidity from Lyman-alpha 1
RHODT	gram/m3	Absolute Humidity, T-Electric Top
RHOLA	gram/m3	Absolute Humidity, Lyman-alpha
RHOLA1	gram/m3	Absolute Humidity, Lyman-alpha
RHUM	%	Relative Humidity
SSLIP	degree	Sideslip Angle, Reference
SSRD	degree	Sideslip Angle, Radome Diff. Pressure
TASF	m/s	Aircraft True Airspeed, Fuselage
TASHC	m/s	Aircraft True Airspeed, Humidity Corrected
TASR	m/s	Aircraft True Airspeed, Radome
TASX	m/s	Aircraft True Airspeed, Reference
TEO3C	ppbv	Corrected TECO (UV) Ozone Concentration
THETA	K	Potential Temperature
THETAE	K	Equivalent Potential Temperature
THETAV	K	Virtual Potential Temperature
TTX	deg_C	Total Temperature, Reference
UI	m/s	Wind Vector, East Component
UIC	m/s	GPS-Corrected Wind Vector, East Component
UX	m/s	Wind Vector, Longitudinal Component
UXC	m/s	GPS-Corrected Wind Vector, Longitudinal Component
VEWC	m/s	GPS-Corrected Inertial Ground Speed Vector, East Component
VI	m/s	Wind Vector, North Component
VIC	m/s	GPS-Corrected Wind Vector, North Component
VNSC	m/s	GPS-Corrected Inertial Ground Speed Vector, North Component
VY	m/s	Wind Vector, Lateral Component
VYC	m/s	GPS-Corrected Wind Vector, Lateral Component
WD	degree_T	Horizontal Wind Direction
WDC	degree_T	GPS-Corrected Horizontal Wind Direction
WI	m/s	Wind Vector, Vertical Gust Component
WIC	m/s	GPS-Corrected Wind Vector, Vertical Gust Component
WP3	m/s	Damped Aircraft Vertical Velocity
WS	m/s	Horizontal Wind Speed
WSC	m/s	GPS-Corrected Horizontal Wind Speed
XICNC	vlpm	Corrected CN Isokinetic Side Flow Rate
XMACH2	none	Aircraft Mach Number Squared
ZERO	none	Constant value of 0.
